capture,ue_ip,direction,window_index,window_s,throughput_mbps,lf_raw,lf_used
250826_1030_1130.pcap,10.1.17.210,DL,555,5,1.525755,0.00166932,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,556,5,2.784584,0.00304659,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,557,5,2.787963,0.00305029,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,558,5,1.323866,0.00144843,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,559,5,2.667203,0.00291817,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,560,5,2.772587,0.00303347,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,561,5,1.436298,0.00157144,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,562,5,0.693122,0.00075834,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,563,5,0.000987,0.00000108,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,564,5,0.001157,0.00000127,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,565,5,0.052862,0.00005784,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,566,5,0.003741,0.00000409,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,567,5,0.012058,0.00001319,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,568,5,10.742379,0.01175315,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,569,5,4.165434,0.00455737,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,570,5,2.751506,0.00301040,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,571,5,9.780650,0.01070093,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,572,5,2.939186,0.00321574,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,573,5,1.491917,0.00163229,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,574,5,2.794653,0.00305761,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,575,5,2.569418,0.00281118,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,576,5,1.322834,0.00144730,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,577,5,2.879882,0.00315086,0.30000
